"year","copyright","total_operas"
1781,1,2
1782,1,1
1783,1,1
1784,1,1
1785,1,1
1786,1,1
1787,1,1
1788,1,1
1789,1,1
1790,1,2
1791,1,2
1792,1,1.70000004768372
1793,1,4.5
1794,1,1
1795,1,3
1796,1,3
1797,1,1.5
1798,1,1
1799,1,1
1800,1,1
1801,1,3.5
1802,1,4
1803,1,5.5
1804,1,6.5
1805,1,6
1806,1,2.5
1807,1,3
1808,1,3
1809,1,4
1810,1,6
1811,1,2.5
1812,1,7
1813,1,5
1814,1,5.5
1815,1,6.40000009536743
1816,1,4
1817,1,4
1818,1,4
1819,1,3
1820,1,3
1781,0,1.5
1782,0,1.29999995231628
1783,0,1.70000004768372
1784,0,1.20000004768372
1785,0,1.70000004768372
1786,0,1.5
1787,0,1.29999995231628
1788,0,1.39999997615814
1789,0,1.39999997615814
1790,0,1.5
1791,0,1.70000004768372
1792,0,1.10000002384186
1793,0,1.5
1794,0,2.20000004768372
1795,0,1.39999997615814
1796,0,1.20000004768372
1797,0,2
1798,0,1.60000002384186
1799,0,2
1800,0,2.20000004768372
1801,0,2
1802,0,3
1803,0,1.89999997615814
1804,0,2
1805,0,2
1806,0,1.5
1807,0,2
1808,0,3
1809,0,2.20000004768372
1810,0,2.5
1811,0,2
1812,0,2.5
1813,0,2.20000004768372
1814,0,3
1815,0,3.79999995231628
1816,0,2
1817,0,3
1818,0,3.20000004768372
1819,0,3.90000009536743
1820,0,2.79999995231628
